sex,drug,SYMBOL,ENSEMBL,expr_logFC,expr_p,expr_direction,CpG,region,island,delta_M,meth_p,meth_direction,biological_pattern
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg06314235,TSS200,S_Shore,0.3425581016630472,0.06027039192428141,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg06314235,TSS1500,S_Shore,0.3425581016630472,0.06027039192428141,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg04396637,5'UTR,Island,0.3101876268422762,0.12122231422079768,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg21339676,TSS200,Island,-0.3297004535120169,0.16863719526174067,HYPOmethylated in responders,concordant (promoter hypomethylation -> higher expression)
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg23618218,5'UTR,N_Shelf,-0.1767751295727633,0.1972167508753349,HYPOmethylated in responders,concordant (promoter hypomethylation -> higher expression)
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg23314055,3'UTR,OpenSea,-0.19390136511194506,0.20178108599015945,HYPOmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg02675652,TSS1500,S_Shore,0.31954630538388823,0.20469070457555263,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg09479489,TSS1500,S_Shore,-0.18886484463780184,0.21445889107346672,HYPOmethylated in responders,concordant (promoter hypomethylation -> higher expression)
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg02456869,TSS1500,S_Shore,0.15746841582742682,0.2439672387708922,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg11053966,5'UTR,N_Shore,0.2536035897453702,0.24495451700515766,HYPERmethylated in responders,non-canonical / not the textbook direction
male,Etanercept,CSRNP2,ENSG00000110925,0.45616748292219295,6.568414272582832e-6,UP in responders,cg07772537,Body,OpenSea,0.18078383825290975,0.31976711621646475,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
