sex,drug,biomarker_status,panel_source_model,performance_model,performance_auroc,performance_ci_lo,performance_ci_hi,n,omics,feature,loading,rank_within_block
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000110925,0.5792551076200523,1
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000259343,-0.4285233527052368,2
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000143514,0.39271511081202465,3
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000164867,-0.35423595907690375,4
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000130766,0.2627593538140995,5
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000253409,-0.16811572931604088,6
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000104756,0.1672532402414508,7
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000214184,-0.15751763388785797,8
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000139112,0.10416069795241616,9
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,transcriptomics_gene,ENSG00000185518,-0.1027608062894154,10
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg15842800,-0.5097490297575867,1
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg10148801,-0.43779456251136495,2
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg23578349,-0.3658261668152082,3
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg24589001,-0.31778374161848,4
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg25871008,-0.2824899281147626,5
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg02145932,0.22317518465048192,6
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg04432319,0.19391643362470035,7
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg14060111,0.18387978638921815,8
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg20662370,-0.18341946981516488,9
male,Etanercept,statistically_supported,DIABLO,RandomForest,0.8095238095238095,0.5593788212027755,1,13,methylation_CpG,cg09560161,-0.1697196240793332,10
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000165644,-0.6567374331912637,1
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000175344,0.4390736957378487,2
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000183423,0.4176315669608873,3
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000139200,-0.30642252280859117,4
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000279161,0.1680471247904571,5
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000179934,-0.13458278546851823,6
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000232818,0.12508319906355694,7
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000164066,0.1071319144620713,8
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000172167,-0.10657261402954868,9
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,transcriptomics_gene,ENSG00000199436,0.07474553303582311,10
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg24173410,0.6833368616814944,1
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg08193293,0.37930839035977865,2
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg09062052,0.3674158878808691,3
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg08323017,0.30319682745003684,4
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg14357055,0.2127497564573101,5
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg13323553,0.16754649593989285,6
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg12554282,0.15976990813722808,7
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg14101359,0.15205807253480325,8
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg26406609,0.09667099175314464,9
female,Etanercept,exploratory_not_significant,DIABLO,RandomForest,0.6658653846153845,0.4556902672541121,0.8760405019766571,29,methylation_CpG,cg17491339,0.08638699792365821,10
