sex,view,feature,loading
female,expression,ENSG00000124780,0.5841284089501204
female,expression,ENSG00000145217,0.5047876092206535
female,expression,ENSG00000096696,0.49884419096073
female,expression,ENSG00000234493,0.2268611710761829
female,expression,ENSG00000224616,0.1685224087097195
female,expression,ENSG00000139200,-0.14925277960542668
female,expression,ENSG00000249129,0.13373235188129237
female,expression,ENSG00000140598,-0.12069686977818526
female,expression,ENSG00000156970,-0.07403343926725105
female,expression,ENSG00000106070,-0.0650999896159371
female,expression,ENSG00000074935,0.06309616405370536
female,expression,ENSG00000161981,-0.06038151735248502
female,expression,ENSG00000100246,-0.051556405316075395
female,expression,ENSG00000099251,0.022953995699478515
female,expression,ENSG00000229358,0.0035667470683090107
female,methylation,cg26365776,0.6676821887193687
female,methylation,cg25982883,0.4863478918880648
female,methylation,cg11685432,0.3624861776910728
female,methylation,cg14199570,0.2578050693780331
female,methylation,cg12594366,0.23866915801351601
female,methylation,cg25755875,0.14228200229689236
female,methylation,cg05830240,0.13286596855191765
female,methylation,cg20500404,0.11690497685477384
female,methylation,cg19358589,0.06761378075730283
female,methylation,cg04645160,0.053540333620775225
female,methylation,cg14323204,0.05024231258003223
female,methylation,cg16197684,0.02731051126620935
female,methylation,cg25602071,0.02187510012546144
female,methylation,cg08541601,0.007502171695887218
female,methylation,cg16084822,0.006009864767094977
male,expression,ENSG00000162191,-0.5506185395384485
male,expression,ENSG00000175054,0.46645983383106243
male,expression,ENSG00000213533,0.3164229520665431
male,expression,ENSG00000259343,-0.3151523329217284
male,expression,ENSG00000146263,0.26088107793953214
male,expression,ENSG00000182158,0.25236086148153275
male,expression,ENSG00000131507,-0.1853051676934552
male,expression,ENSG00000240230,0.15235276070128745
male,expression,ENSG00000143442,0.15056593590602094
male,expression,ENSG00000106605,-0.14356423841114327
male,expression,ENSG00000170325,0.13671255508423666
male,expression,ENSG00000130940,0.12369408207081214
male,expression,ENSG00000165609,0.0998477820895868
male,expression,ENSG00000230626,-0.056057157973446486
male,expression,ENSG00000237788,0.010598815284488248
male,methylation,cg02760103,-0.4989996569144635
male,methylation,cg19180387,-0.45360104185396727
male,methylation,cg24545315,-0.38916944592453917
male,methylation,cg23630973,-0.3400280053642343
male,methylation,cg25224232,-0.30633836816840254
male,methylation,cg24874166,-0.2906848449257912
male,methylation,cg09288844,-0.22290196485259697
male,methylation,cg10735019,-0.12994288269491153
male,methylation,cg23036605,-0.11153431158661144
male,methylation,cg18220719,-0.07721197999982284
male,methylation,cg08508745,-0.07504752954173644
male,methylation,cg17061821,-0.06931255088408685
male,methylation,cg21668964,-0.04066659572982894
male,methylation,cg04599041,-0.04013831617252979
male,methylation,cg21828173,-0.03405012811780622
