cpg,Control,RA,MeanDecreaseAccuracy,MeanDecreaseGini
cg00322319,2.03591269464089,2.34039850453992,4.03210708074278,24.9448846822815
cg19157140,11.6603935335689,0.81858510851913,11.1443264379161,22.9447720035324
cg25598086,1.28168188607305,8.82267770808988,9.89652162446231,22.7906055247888
cg18924222,4.54014173348721,3.1659257619052,6.59215083531169,22.3041653337663
cg21740204,-0.104949616289705,6.32899728044664,6.29405451111676,21.2035765829876
cg20639658,-0.62251196518414,7.11621093449077,6.45435583354492,20.4938424104736
cg02120739,7.03391574459908,-6.10161023262239,0.979252434626911,20.4037873607663
cg08212230,3.54241902569201,3.2433600088909,6.17882763893113,18.934451164313
cg10437627,1.27275940728981,6.44088047023719,6.92704108624668,18.21988211384
cg15478005,0.378669298832018,1.62024991541693,1.78847049224525,18.1043170689487
cg26793226,0.392958572171208,5.37382330998926,5.28458574184909,17.9117503295546
cg12089985,-5.07412124223232,10.4700690565884,6.59692562287477,16.5897169522414
