cpg,coef_neutro,coef_eosino,r_squared
cg21740204,0.249972936762864,1.73162407825548,0.00981209065852333
cg10437627,-0.012228254720055,0.457642064868636,0.00038329354872684
cg26793226,-0.0571969488986733,0.521855236437125,0.00124977099252668
cg15478005,0.322598185258069,1.14443217004033,0.00409398049474981
cg12089985,-0.0709024352600044,-0.252393536117973,0.000314841925699445
cg08212230,-0.406025128296804,0.110624437962591,0.00847761424252141
cg00322319,-0.00538871177823768,0.0682654529892102,6.86226168883643e-06
cg02120739,0.0148466638256638,0.0881314217071565,1.35278450058363e-05
cg19157140,0.245833728840655,0.425194995453572,0.0153313754136258
cg25598086,0.61124590753138,0.852409511622496,0.00700562984330569
cg20639658,-0.0572234513462896,0.843273505998776,0.000621325575576057
cg18924222,-0.509473478366865,-1.00868133484141,0.018836108075993
cg14004673,0.150841471103715,0.12643714431844,0.00612016786282282
cg15643574,-0.226120016903773,3.2065623707281,0.00694402930880916
cg22560837,-0.102061886327962,-0.614186052908152,0.00269238806629226
cg23881902,-0.29229664530005,-0.347927391638225,0.0170569783725818
cg10186232,0.376526304579976,0.791583171451872,0.0114681496690456
cg19657380,-0.0649174408105164,0.364715938543706,0.00159325475218519
cg06999776,0.230216858875669,1.9199561329262,0.00620771207946576
cg27301343,-0.0268043718030499,-0.0207582786306644,0.000113277026180821
cg17484629,0.186807095292049,-0.0569406273271215,0.00532950260094946
